JCR Year and Edition: 2011 Science

Abbreviated Journal Title;ISSN;{2011} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2011} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
WILDLIFE RES;1035-3712;1797;1.323;1.500;0.375;80;8.7;0.00353;0.476;
ZEBRAFISH;1545-8547;584;3.084;3.272;0.320;25;3.4;0.00291;1.051;
ZOO BIOL;0733-3188;1069;0.840;0.862;0.123;57;>10.0;0.00117;0.284;
ZOOKEYS;1313-2989;470;0.879;0.864;0.361;452;1.5;0.00195;0.302;
ZOOL ANZ;0044-5231;1263;1.415;1.600;0.167;36;>10.0;0.00106;0.526;
ZOOL J LINN SOC-LOND;0024-4082;3022;2.433;2.586;0.594;106;9.3;0.00675;0.934;
ZOOL MIDDLE EAST;0939-7140;297;0.490;;0.060;50;7.9;0.00037;;
ZOOL SCI;0289-0003;2225;0.952;1.018;0.182;121;8.4;0.00439;0.351;
ZOOL SCR;0300-3256;1586;2.913;2.986;0.674;46;7.5;0.00416;1.055;
ZOOL STUD;1021-5506;898;0.975;1.050;0.160;75;7.1;0.00197;0.296;
ZOOL ZH;0044-5134;1288;0.305;0.282;0.111;162;>10.0;0.00095;0.068;
ZOOLOGIA-CURITIBA;1984-4670;140;0.587;0.587;0.082;110;1.9;0.00077;0.187;
ZOOLOGY;0944-2006;812;1.500;1.753;0.205;44;7.0;0.00207;0.582;
ZOOMORPHOLOGY;0720-213X;698;1.283;1.264;0.087;23;>10.0;0.00095;0.488;
ZOOSYSTEMA;1280-9551;352;0.650;0.656;0.125;24;7.4;0.00072;0.200;
ZOOTAXA;1175-5326;6948;0.927;0.928;0.340;1485;3.3;0.02216;0.200;

